id_localid,name,x,y,powiat,wojewodztwo
153160070,Nadarzyce,16.495833,53.465832999999996,złotowski,wielkopolskie
153160080,Storkowo,16.495,53.77916699999999,szczecinecki,zachodniopomorskie
153160110,Wiesiółka,16.612222,53.271667,wałecki,zachodniopomorskie
153160120,Wierzchowo,16.621389,53.861944,szczecinecki,zachodniopomorskie
153160130,Stobno,16.634444,53.09416699999999,czarnkowsko-trzcianecki,wielkopolskie
153160150,Szczecinek,16.693889,53.70638899999999,szczecinecki,zachodniopomorskie
153160160,Ujście 2,16.723889,53.05555600000001,pilski,wielkopolskie
153160170,Ujście 1,16.730278000000002,53.05472199999999,pilski,wielkopolskie
153160180,Piła,16.740278,53.151388999999995,pilski,wielkopolskie
153160190,Zabrodzie,16.748333,53.25722199999999,pilski,wielkopolskie
153160200,Gwda Wielka,16.793611,53.74027799999999,szczecinecki,zachodniopomorskie
153160210,Ptusza,16.796389,53.36666699999999,złotowski,wielkopolskie
153160220,Długie,16.799444,53.785000000000004,szczecinecki,zachodniopomorskie
153160230,Dobrzyca,16.803889,53.224721999999986,złotowski,wielkopolskie
153160240,Błogowo,16.813056,53.98249999999999,bytowski,pomorskie
153160250,Okonek,16.835,53.524722,złotowski,wielkopolskie
153160260,Czarne,16.9525,53.695,człuchowski,pomorskie
153160270,Rakowo,16.368889000000003,53.616944,szczecinecki,zachodniopomorskie
153160280,Smolarnia,16.360278,53.029167,czarnkowsko-trzcianecki,wielkopolskie
153160290,Komorze,16.343333000000005,53.62944399999998,szczecinecki,zachodniopomorskie
153160300,Wielimie,16.786111,53.745833000000005,szczecinecki,zachodniopomorskie
153165510,Połczyn Zdrój,16.090278,53.769999999999996,świdwiński,zachodniopomorskie
153165520,Krępsko,16.775,53.26,pilski,wielkopolskie
153169992,Podgaje,16.911111,53.469443999999996,złotowski,wielkopolskie
153169995,Spore,16.688889,53.80138899999999,szczecinecki,zachodniopomorskie
153169998,Rzepowo,16.097222,53.590277999999984,drawski,zachodniopomorskie
153169999,Głęboczek,16.075,53.573611,drawski,zachodniopomorskie
153170010,Białośliwie,17.124722,53.07361099999999,pilski,wielkopolskie
153170020,Buntowo,17.1275,53.26638899999999,złotowski,wielkopolskie
153170030,Szczytno,17.219722,53.77222199999999,człuchowski,pomorskie
153170040,Wyrzysk,17.270833,53.150832999999984,pilski,wielkopolskie
153170050,Ciecholewy,17.410833,53.81444399999999,chojnicki,pomorskie
153170060,Swornegacie,17.498333,53.859722,chojnicki,pomorskie
153170070,Swornegacie,17.509444,53.88249999999999,chojnicki,pomorskie
153170080,Charzykowy,17.508333,53.737778,chojnicki,pomorskie
153170090,Sępólno Krajeńskie,17.523889,53.45805599999999,sępoleński,kujawsko-pomorskie
153170100,Nakło-Zachód,17.562222,53.12361099999999,nakielski,kujawsko-pomorskie
153170110,Motyl,17.826667,53.428056,bydgoski,kujawsko-pomorskie
153170120,Tuchola,17.903611000000005,53.57305600000001,tucholski,kujawsko-pomorskie
153170130,Jeziorna,17.914722,53.956389,kościerski,pomorskie
